,Agartala,Agra,Ahmedabad,Ahmedapur,Aizwal,Aligarh,Allahabad,Amritsar,Asansol,Aurangabad,Balichak,Bangalore,Bankura,Basiwrhat,Belda,Bethuadahari,Bhatinda,Bhawani,Bhawanipatna,Bhillai,Bhopal,Bhubneshwar,Bijapur,Bishalgarh,Burdwan,Chandigarh,Chennai,Chittoor,Coimbatore,Contai,Cuddalore,Cuttack,Dausa,Delhi,Dhanbad,Dibrugarh,Dispur,Ernakulam,Gandhi Nagar,Gangavathi,Gangtok,Gaya,Gonda,Gorakhpur,Guntur,Guwahati,Hajipur,Hardoi,Hissar,Howrah,Hubli,Hyderabad,Imphal,Indus,Itanagar,Jaipur,Jalgaon,Jalpaiguri,Jammu,Jamnagar,Jodhpur,Kaithal,Kanpur,Karnal,Katwa,Khozhikode,Kohima,Kolhapur,Kolkata,Krishnagar,Kurnool,Lucknow,Ludhiana,Madurai,Mainpuiri,Malda,Mandi,Melaghat,Mirzapur,Mogra,Mumbai,Muradnagar,Muzaffarnagar,Muzaffarpur,NR,Nagpur,Nasik,Nedumangad,Palghat,Panaji,Patna,Philibhit,Pondicherry,Portblair,Pune,Purulia,Rajkot,Ranchi,Rewa,Saharanpur,Salem,Sehore,Shillong,Shimla,Shrinagar,Sonipet,Srinagar,Surat,Suri,Swaimadhopur,Tambram,Tiruchirapalli,Tirunelveli,Trivandrum,Tumkur,Udaipur,Vadodra,Vellore,Vishakhapatnam
"('Butter', 'Amul/Any Other')",43,120,,,59,,9,49,47,459,,252,,,,,99,,265,245,8,11,212,,,337,27,28,74,,,238,30,51,112,116,173,18,116,,446,348,,5,244,117,339,,19,227,244,14,127,,186,83,,48,12,,132,,64,84,,2,23,,89,,238,2,12,22,,205,60,,,,154,,,348,465,229,322,,,22,3,,390,29,352,,450,88,360,95,20,240,2,331,259,,323,348,,188,324,,304,64,54,38,120,,22
"('Chicken', 'Poultry')",43,120,,,62,365,9,49,47,352,,34,,,,,105,,265,245,8,11,212,,,337,5,8,29,,,238,30,4,203,116,173,97,116,,446,348,,5,265,117,339,,19,228,442,11,132,,186,83,,48,12,,173,,64,64,,2,23,,7,,8,2,12,22,,205,60,,,,16,,,348,,229,94,,,8,3,,390,16,352,,450,3,360,95,15,240,2,331,259,,323,348,,143,324,,304,2,54,38,120,,23
"('Coconut', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Coriander', 'Powdered Agmark')",43,120,,,59,,9,71,111,451,,98,,,,,99,,265,245,8,11,212,,,337,27,8,38,,,238,30,30,112,116,173,13,116,,446,348,,5,240,117,339,,97,227,120,11,127,,186,77,,48,12,,4,,64,64,,5,23,,89,,32,3,12,22,,205,60,,,,170,,,348,,229,322,,,8,3,,390,16,352,,450,3,360,95,15,240,3,331,303,,323,348,,143,324,,304,26,54,38,120,,22
"('Cummin', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Eggs', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Fish', 'Cat Fish')",51,175,,,238,,239,167,238,,,237,,,,,244,,,378,240,238,240,,,352,38,8,247,,,466,47,131,238,244,244,209,239,,446,,,239,265,255,,,244,227,442,48,244,,188,244,,257,240,,254,,193,238,,11,220,,114,,119,238,238,41,,205,244,,,,154,,,,468,229,322,,,15,238,,466,17,352,,,246,,244,240,378,238,466,,,341,360,,188,,,,149,100,38,206,,98
"('Fish', 'Pomphret')",243,203,,,238,,239,97,50,,,247,,,,,244,,,378,156,190,220,,,352,56,8,171,,,430,97,262,262,244,203,24,239,,447,,,18,267,318,,,244,227,442,173,244,,203,244,,254,240,,244,,104,238,,116,236,,55,,238,18,174,41,,252,244,,,,67,,,,467,252,64,,,48,238,,466,30,464,,450,238,409,95,264,378,262,466,259,,,360,,203,,,,173,234,38,206,,162
"('Fish', 'Rohu 1Kg Size')",43,120,,,59,,9,49,47,352,,365,,,,,99,,265,255,8,11,220,,,337,119,18,74,,,238,30,18,112,116,173,80,239,,446,348,,18,265,117,339,,19,227,443,14,127,,186,77,,48,12,,244,,64,64,,164,23,,18,,8,18,133,127,,205,102,,,,53,,,348,,229,102,,,246,3,,390,31,352,,450,3,360,95,15,240,2,331,396,,143,348,,147,402,,,76,54,38,141,,145
"('Ghee', 'Desi')",43,120,,,64,,9,49,47,352,,331,,,,,99,,265,245,8,11,212,,,337,27,8,38,,,238,30,30,112,116,173,47,87,,446,348,,5,244,117,339,,19,227,244,14,192,,186,83,,48,29,,4,,64,64,,3,131,,89,,8,2,14,22,,205,60,,,,16,472,,348,,229,322,,,8,3,,390,16,352,,450,22,360,95,15,240,3,331,266,,331,348,,143,324,,304,65,54,38,120,,22
