('Atta', 'FAQ', 'Bangalore') :  (0.59, 245)
('Atta', 'FAQ', 'Bhatinda') :  (0.35, 99)
('Atta', 'FAQ', 'Bhawanipatna') :  (0.87, 265)
('Atta', 'FAQ', 'Bhillai') :  (0.78, 245)
('Atta', 'FAQ', 'Bhopal') :  (0.07, 10)
('Atta', 'FAQ', 'Bhubneshwar') :  (0.05, 11)
('Atta', 'FAQ', 'Bijapur') :  (0.47, 212)
('Atta', 'FAQ', 'Chandigarh') :  (0.86, 337)
('Atta', 'FAQ', 'Chennai') :  (0.16, 27)
('Atta', 'FAQ', 'Chittoor') :  (0.07, 10)
('Atta', 'FAQ', 'Coimbatore') :  (0.14, 38)
('Atta', 'FAQ', 'Cuttack') :  (0.59, 238)
('Atta', 'FAQ', 'Dausa') :  (0.1, 30)
('Atta', 'FAQ', 'Delhi') :  (0.05, 10)
('Atta', 'FAQ', 'Dhanbad') :  (0.27, 112)
('Atta', 'FAQ', 'Dibrugarh') :  (0.45, 126)
('Atta', 'FAQ', 'Dispur') :  (0.71, 173)
('Atta', 'FAQ', 'Ernakulam') :  (0.12, 14)
('Atta', 'FAQ', 'Gandhi Nagar') :  (0.25, 84)
('Atta', 'FAQ', 'Gangtok') :  (0.97, 456)
('Atta', 'FAQ', 'Gaya') :  (0.98, 348)
('Atta', 'FAQ', 'Gorakhpur') :  (0.07, 10)
('Atta', 'FAQ', 'Guntur') :  (0.58, 271)
('Atta', 'FAQ', 'Guwahati') :  (0.56, 117)
('Atta', 'FAQ', 'Hajipur') :  (0.95, 339)
('Atta', 'FAQ', 'Hissar') :  (0.15, 19)
('Atta', 'FAQ', 'Howrah') :  (0.71, 227)
('Atta', 'FAQ', 'Hubli') :  (0.1, 10)
('Atta', 'FAQ', 'Hyderabad') :  (0.2, 17)
('Atta', 'FAQ', 'Imphal') :  (0.41, 137)
('Atta', 'FAQ', 'Itanagar') :  (0.45, 186)
('Atta', 'FAQ', 'Jaipur') :  (0.33, 83)
('Atta', 'FAQ', 'Jalpaiguri') :  (0.53, 48)
('Atta', 'FAQ', 'Jammu') :  (0.13, 12)
('Atta', 'FAQ', 'Jodhpur') :  (0.07, 10)
('Atta', 'FAQ', 'Kanpur') :  (0.42, 64)
('Atta', 'FAQ', 'Karnal') :  (0.2, 64)
('Atta', 'FAQ', 'Khozhikode') :  (0.02, 10)
('Atta', 'FAQ', 'Kohima') :  (0.32, 23)
('Atta', 'FAQ', 'Kolkata') :  (0.27, 89)
('Atta', 'FAQ', 'Kurnool') :  (0.09, 11)
('Atta', 'FAQ', 'Lucknow') :  (0.02, 10)
('Atta', 'FAQ', 'Ludhiana') :  (0.09, 12)
('Atta', 'FAQ', 'Madurai') :  (0.42, 22)
('Atta', 'FAQ', 'Malda') :  (0.61, 205)
('Atta', 'FAQ', 'Mandi') :  (0.31, 42)
('Atta', 'FAQ', 'Mumbai') :  (0.08, 16)
('Atta', 'FAQ', 'Muzaffarpur') :  (0.98, 348)
('Atta', 'FAQ', 'NR') :  (0.99, 477)
