,Average,ValidCityCounts,Agartala,Agra,Ahmedabad,Ahmedapur,Aizwal,Aligarh,Allahabad,Amritsar,Asansol,Aurangabad,Balichak,Bangalore,Bankura,Basiwrhat,Belda,Bethuadahari,Bhatinda,Bhawani,Bhawanipatna,Bhillai,Bhopal,Bhubneshwar,Bijapur,Bishalgarh,Burdwan,Chandigarh,Chennai,Chittoor,Coimbatore,Contai,Cuddalore,Cuttack,Dausa,Delhi,Dhanbad,Dibrugarh,Dispur,Ernakulam,Gandhi Nagar,Gangavathi,Gangtok,Gaya,Gonda,Gorakhpur,Guntur,Guwahati,Hajipur,Hardoi,Hissar,Howrah,Hubli,Hyderabad,Imphal,Indus,Itanagar,Jaipur,Jalgaon,Jalpaiguri,Jammu,Jamnagar,Jodhpur,Kaithal,Kanpur,Karnal,Katwa,Khozhikode,Kohima,Kolhapur,Kolkata,Krishnagar,Kurnool,Lucknow,Ludhiana,Madurai,Mainpuiri,Malda,Mandi,Melaghat,Mirzapur,Mogra,Mumbai,Muradnagar,Muzaffarnagar,Muzaffarpur,NR,Nagpur,Nasik,Nedumangad,Palghat,Panaji,Patna,Philibhit,Pondicherry,Portblair,Pune,Purulia,Rajkot,Ranchi,Rewa,Saharanpur,Salem,Sehore,Shillong,Shimla,Shrinagar,Sonipet,Srinagar,Surat,Suri,Swaimadhopur,Tambram,Tiruchirapalli,Tirunelveli,Trivandrum,Tumkur,Udaipur,Vadodra,Vellore,Vishakhapatnam
"('Salt', 'Loose(common)')",0.465061728,81,0.2,0.45,,,0.17,,0.2,0.27,0.37,0.93,,0.59,,,,,0.36,,0.88,0.77,0.06,0.03,0.46,,,0.86,0.23,0.06,0.12,,,0.59,0.08,0.84,0.31,0.76,0.71,0.16,0.24,,0.97,0.98,,0.06,0.05,0.55,0.95,,0.14,0.71,0.35,0.16,0.83,,0.44,0.33,,0.52,0.83,,0.11,,0.41,0.18,,0.3,0.31,,0.27,,0.07,0,0.08,0.43,,0.6,0.83,,,,0.43,,,0.98,,0.89,0.75,,,0.08,0.02,,0.85,0.31,0.97,,0.96,0.16,0.77,0.41,0.23,0.6,0.17,0.99,0.82,,0.88,0.76,,0.4,0.97,,0.66,0.24,0.32,0.26,0.55,,0.08
"('Gur', 'Local')",0.466404494,89,0.28,0.46,,,0.17,0.97,0.18,0.22,0.29,0.79,,0.28,,,,,0.41,,0.88,0.77,0.13,0.04,0.49,,,0.86,0.22,0.18,0.23,0.98,,0.49,0.09,0.13,0.27,0.44,0.71,0.08,0.25,,0.98,0.98,0.99,0.07,0.2,0.56,0.95,,0.15,0.72,0.37,0.13,0.47,,0.44,0.3,,0.54,0.12,0.97,0.08,,0.4,0.19,,0.03,0.31,,0.27,,0.14,0.01,0.09,0.48,0.97,0.62,0.46,,,,0.07,,0.99,0.98,,0.7,0.75,,,0.09,0.03,0.98,0.84,0.11,0.97,,0.96,0.05,0.76,0.41,0.25,0.6,0.06,0.75,0.82,,0.84,0.76,,0.4,0.97,,0.66,0.22,0.33,0.26,0.55,0.99,0.08
"('Rice', 'Fine')",0.466853933,89,0.2,0.37,,,0.16,,0.17,0.61,0.28,0.79,0.99,0.56,,0.98,,0.99,0.34,,0.88,0.77,0.05,0.02,0.46,,,0.87,0.5,0.05,0.12,,,0.59,0.08,0.43,0.25,0.43,0.71,0.06,0.24,,0.97,0.98,,0.05,0.05,0.55,0.94,,0.13,0.7,0.08,0.14,0.43,,0.44,0.13,,0.51,0.12,,0.05,,0.46,0.18,,0,0.3,0.99,0.38,0.99,0.7,0,0.08,0.59,,0.6,0.3,,,0.98,0,,0.99,0.98,,0.68,0.75,,,0.08,0.02,,0.84,0.08,0.97,0.98,0.96,0.01,0.76,0.41,0.15,0.6,0.01,0.75,0.84,,0.94,0.76,,0.4,0.97,,0.33,0.33,0.3,0.26,0.55,,0.08
"('Masur', 'Split')",0.471309524,84,0.21,0.45,,,0.16,,0.2,0.21,0.29,0.79,,0.25,,,,,0.34,,0.88,0.77,0.04,0.03,0.46,,,0.86,0.56,0.98,0.48,,,0.59,0.08,0.01,0.25,0.48,0.71,0.06,0.24,,0.98,0.98,,0.06,0.57,0.55,0.94,,0.14,0.7,0.14,0.02,0.41,,0.45,0.32,,0.52,0.12,,0.06,,0.41,0.18,,0.95,0.31,,0.25,,0.13,0.01,0.08,0.49,,0.6,0.31,,0.98,,0.01,,,0.98,1,0.68,0.75,,,0.08,0.02,0.98,0.84,0.08,0.97,,0.96,0.03,0.76,0.41,0.96,0.6,0.01,0.76,0.82,,0.94,0.76,,0.4,0.99,,0.72,0.32,0.83,0.26,0.55,,0.08
"('Gram', 'Whole')",0.471704545,88,0.24,0.45,,,0.15,0.98,0.18,0.23,0.3,0.82,,0.25,,,,,0.36,,0.88,0.77,0.04,0.03,0.47,,,0.85,0.67,0.12,0.14,,,0.59,0.08,0,0.25,0.55,0.71,0.07,0.2,,0.97,0.98,0.99,0.06,0.57,0.55,0.94,0.99,0.14,0.7,0.09,0.19,0.44,,0.47,0.11,,0.52,0.15,,0.05,,0.4,0.18,,0.02,0.32,,0.25,,0.07,0,0.07,0.68,,0.6,0.31,,0.98,,0.24,,0.99,0.98,1,0.69,0.56,,,0.28,0.02,0.98,0.84,0.09,0.97,,0.96,0.02,0.76,0.41,0.43,0.6,0.9,0.76,0.83,,0.83,0.76,,0.4,0.97,,0.66,0.21,0.31,0.26,0.55,,0.08
"('Apple', 'Delicious medium size')",0.478433735,83,0.25,0.54,,,0.16,0.98,0.18,0.27,0.55,0.79,,0.51,,,,,0.43,,0.88,0.78,0.08,0.04,0.79,,,0.86,0.13,0.1,0.35,,,0.59,0.11,0.13,0.27,0.44,0.72,0.08,0.25,,0.97,0.98,,0.15,0.57,0.56,0.94,,0.21,0.71,0.53,0.28,0.48,,0.45,0.28,,0.7,0.19,,0.08,,0.45,0.32,,0.07,0.42,,0.22,,0.33,0.15,0.08,0.61,,0.67,0.53,,,,0.16,,,0.98,0.99,0.7,0.75,,,0.1,0.18,,0.84,0.2,0.97,,0.96,0.05,0.76,0.45,0.68,0.62,0.03,0.78,0.91,,0.94,0.76,,0.41,0.97,,0.71,0.18,0.32,0.41,0.55,,0.16
"('Butter', 'Amul/Any Other')",0.481341463,82,0.2,0.45,,,0.16,,0.17,0.22,0.32,0.97,,0.6,,,,,0.4,,0.87,0.78,0.05,0.03,0.47,,,0.85,0.29,0.11,0.51,,,0.59,0.08,0.32,0.25,0.45,0.71,0.19,0.25,,0.97,0.98,,0.06,0.58,0.59,0.97,,0.15,0.7,0.97,0.16,0.57,,0.44,0.33,,0.52,0.13,,0.6,,0.41,0.35,,0.01,0.4,,0.26,,0.83,0,0.08,0.4,,0.6,0.31,,,,0.61,,,0.98,0.99,0.7,0.75,,,0.1,0.02,,0.84,0.16,0.98,,0.96,0.58,0.76,0.41,0.19,0.6,0.02,0.75,0.82,,0.94,0.78,,0.77,0.97,,0.66,0.24,0.31,0.27,0.55,,0.1
"('Milk', 'Dairy')",0.489375,80,0.2,0.48,,,0.15,,0.17,0.23,0.33,,,0.6,,,,,0.34,,0.86,0.77,0.05,0.03,0.46,,,0.87,0.21,0.24,0.26,,,0.59,0.08,0.93,0.86,0.44,0.73,0.06,0.25,,0.97,0.98,,0.06,0.58,0.56,0.97,,0.14,0.72,0.97,0.13,0.44,,0.44,0.25,,0.52,0.13,,0.18,,0.41,0.25,,0.01,0.3,,0.4,,0.21,0,0.82,0.4,,0.96,0.32,,,,0.9,,,0.98,,0.75,0.75,,,0.08,0.02,,0.84,0.1,0.97,,0.96,0.16,0.93,0.41,0.84,0.6,0.76,0.75,0.82,,0.94,0.78,,0.46,0.97,,0.66,0.21,0.31,0.26,0.55,,0.08
"('Tea', 'Brooke Bond Red Label')",0.50275,80,0.23,0.52,,,0.46,,0.19,0.26,0.55,,,0.67,,,,,0.4,,0.89,0.77,0.08,0.06,0.47,,,0.85,0.22,0.05,0.14,,,0.59,0.11,0.43,0.85,0.63,0.71,0.09,0.25,,0.97,0.98,,0.09,0.58,0.59,0.97,,0.16,0.98,0.51,0.18,0.87,,0.56,0.34,,0.93,0.16,,0.81,,0.41,0.21,,0.05,0.36,,0.47,,0.08,0.04,0.1,0.47,,0.95,0.33,,,,0.5,,,0.98,0.99,0.73,0.75,,,0.11,0.05,,0.85,0.12,0.97,,,0.53,0.76,0.42,0.21,0.6,0.84,0.77,0.82,,0.94,0.99,,0.44,0.97,,0.78,0.23,0.34,0.27,0.55,,0.09
"('Tea', 'Ctc(loose)')",0.5075,80,0.33,0.51,,,0.42,,0.21,0.27,0.3,0.79,,0.74,,,,,0.45,,0.99,0.95,0.34,0.05,0.46,,,0.84,0.69,0.79,0.62,,,0.59,0.1,0.43,0.36,0.54,0.71,0.08,0.25,,0.98,0.98,,0.08,0.86,0.56,0.97,,0.15,0.72,0.37,0.2,0.69,,0.47,0.34,,0.59,0.21,,0.22,,0.43,0.19,,0.02,0.33,,0.27,,0.09,0.03,0.09,0.84,,0.63,0.83,,,,0.18,,,0.98,,0.72,0.75,,,0.09,0.04,,0.84,0.52,0.97,,0.96,0.2,0.76,0.42,0.89,0.65,0.26,0.95,0.82,,0.95,0.77,,0.4,,,0.97,0.34,0.33,0.26,0.55,,0.08
