Vai
Jalgaon Jamod(Aasalgaon)
Amritsar(Chehreta)
Harsood
Pharasgaon
Maanachar
Chhachhrauli(Khizrabad)
Nawanshahar
Ahmednagar
Varud
Tarori
Nanded
Guna
Kattakada
Narkhed
Jamner(Neri)
Sajapur
Pimpalgaon
Aralamoodu
Kalol
Chittorgarh
Junnar(Otur)
Viramgam
Segaon
Katol
Avalurpet
Petlad(Veg Yard_ Petlad)
Bhainsa
Hata
Dharangaon
Raipur Rai
Dadengiri
Vashi New Mumbai
Nagur
Chelakkara
Suvasra
Jogipet
Pulivendala
Kalapipal
Chamorshi
Kotputli(Pawla)
Bageecha
Challakere
Kodumgalloor
Dungarpur
Bodwad(Varangaon)
Sendhwa
Nadiad
Bapauli
Morena(F&V;)
Pulwama (F&V;)
Samalkha
Gotegaon
Eluru-II_RBZ
Mahua Mandabar(Mahua)
Deesa(Deesa Veg Yard)
Chodavaram
Tenakallu
Devandranagar
Pitlam
Koraput(ph 4)
Talala
Gattasilli
Ajaygarh
Sindi(Selu)
Kodinar
Hyderabad (F&V;)
Dhand
K.Mandvi
Ramgang Mandi(Samod)
Khachrod
Vishrampur
Jalandhar Cantt.
Taura
Dhuri
Vadgaonpeth
Amargarh
Faridkot
Samrala
Gondal
Ratanpur
Karera
Pai
Una
Lehra Gaga
Lohandiguda
Rerozepur Zhirka
Berachha
Kota (FV)
Dindori
Bhuna
Kalamnuri
Handwara (F&V;)
Nagaur(Jayal)
Indri
Bhadrawati
Waghai
Khedh(Bodaramev)
Radaur
Navapara
Chamkaur Sahib
Boha
Mansa
Dharamkot
Ner Parasopant
Rayadurg
Thara(Shihori)
Jui
Bori Arab
Sultan bathery
Ajitwal
Khatora
Mandi(Takoli)
Bhaisma
Modasa
Rampuraphul(Dhapali)
Shakti
Kodungalloor
Tharad
Kailaras
Mahuwa Mandawar
Konta
Banswara
Anchal
Raigarh
Berla
Koilkunta
Begu
Khanna
Visnagar
Kandhar
Machalpur
Jundla
Indore
Maksi
Kustagi
Pfatsero
Magroni
Yeola
Gangapur
Safidon
Sidhwan Bet
Villupuram
Uchhal
Surajgarh
Koppal
Kalwakurthy
Kanjangadu
Loha
Noor Mehal
Jagadhri
Sardar Shahar
Ariyalur Market
Sindkhed Raja
Bhadson
Pillukhera
Balotra
Harij
Hathur
Chhapiheda
V.Kota Mkt.Yard
Haatpipliya
Amreli
Jalandhar City(Kartar Pur Dana mandi)
Ramdurga
Jambusar
Akaltara
Shimla and Kinnaur(Rampur)
Shimla and Kinnaur(Nerwa)
Sailana
Rania
Halvad
Kurara
Lunkaransar
Bhawani Mandi
Garhshankar(Saila Khurd)
Kundalwadi
Sheopurkalan
Sriganganagar(F&V;)
Hadgaon(Tamsa)
Wadakkanchery
Lathi
Katangi
Vyra
Uluberia
Mehsana(Jornang)
Ashta
Vaijpur
Jatara
Murtizapur
Santoshgarh
Sirhind
Kosamba(Vankal)
Ashti
Yeotmal
Mangal Wedha
Nainpur
Aiginia Mandi
Latur(Murud)
Sohra
Adampur
Baran
Nalkehda
Tapa(Sadar Bazar)
Takhatpur
Kosamba(Zangvav)
Bhokardan(Pimpalgaon Renu)
Gevrai
Varaseoni
Jaipur(Grain)(Sodala)
Chhinari
Wardha
Dhansura
Loharu
Saluru
Sirmour(Bagthan)
Anoopgarh
Banur
Reasi
Kangra(Jassour)
Gautampura
Munguli
Rampuraphul(Nabha Mandi)
Perambra
Kurwai
Udaipur(F&V;)
Jaitu
Navagaon
L B Nagar
Malegaon(Umarane)
Manendragarh
Rajampet
Seoni
Sadiq
Porbandar
Rapur
Siwani
Rampuraphul(Mehraj)
Koraput
Mhow
Pathardi
Janta Market
Pavani
Bhawani Mandi(Rajpur)
Keolari
Zalod(Sanjeli)
Bhucho
Narwana
Guru Har Sahai
Sardarnagar
Gharaunda
Bhimunipatnam
Nanuta
Mandla
Sambalpur (Bemetra)
Chabda(Cheepa Badod)
Deoli
Sadhaura
Devgadhbaria
Thandla
Javad
Tapa(Tapa Mandi)
Kukshi
Jodhpur(F&V;)
F.G.Churian
Sillod
Majalgaon
Osmanabad
Mukerian
Hamirpur(Nadaun)
Sabalgarh
Bharatpur
Balapur
Sampla
Nasrullaganj
Jabalpur(F&V;)
Isagarh
Mannar
Latur
Dhone
Polur
Sahaspur
AMO_ Amritsar
Ezhamkulam
Ratia
Ichapuram
Chamba
Shahpura
Ibrahimputnam
Akkalkot
Kalanaur
Mukerian(Talwara)
Bikaner(F&V;)
Shinor
Kadiri
Kalmeshwar
Maksudangarh
Khanpur
Shajapur(F&V;)
Raman
Churu
Rajgarh
Shadnagar
Talikot
Chandvad
Kulasekaram
Solan
Tarana
Mow
Shivpuri
Manathavady
Togguta
Beohari
Ahmedpur
Naushera Pannuan
Rampura Phul
Ichhawar
Sonkatch
Jahajharpur
Koduru
Malpur
Pathalgaon
Khandwa(F&V;)
Cherthdla
Bhatapara
Akhadabalapur
Parkal
Solan(Rajgarh)
Sanwer
Bilagi
Sumerganj
Gaurella
Jalandhar City(Faintan Ganj)
Noor Mehal(Kot Badal Khan)
Aurad
Batala
Jaitaran
Champur(Jhumpura)
Hodal
Sulargharat
Mamdot
Tadipatri
Patan
Aroor
Shegaon
Machhiwara
Jeerapur
Ludhiana(Salem Tabri)
Jobat
Kangra(Jaisinghpur)
Jalna(Badnapur)
Nagari
Sardulgarh
Khirakiya
Badnagar
Champa
Bhanpura
S.Mandvi
Gohad
Naneola
Limdi
Sangrur
Mamdot(Tibbi Khurd)
Ambala Cantt.
Nagda
Mungawali
Bavla
Dudhani
Porsa(F&V;)
DEI(Bundi)
Chail Chowk
Bagasara
Barmer
Raikot
Chandigarh(Grain/Fruit)
Kalayat
Rawatsar
Rajnandgaon
Dimapur
Sangrampur(Varvatbakal)
Nahan
Samudrapur
Gurgaon
Palakkad
Parimpore
Babain
Laxmeshwar
Gharghoda
Satna
Vijaypur
Lakhtar
Pattikonda
Shimla and Kinnaur(Theog)
Dabra
Burhanpur
Ferozepur Cantt(Jhok Harihar)
Amadalavalasa
Athagarh
Dewas
Sadulshahar
Fatehnagar
Lonand
Kille Dharur
Kannad
Banga
Kullu(Patli Kuhal)
Pattambi
Himalyatnagar
Binaganj
Palus
kalanwali
Vamanapuram
Lonar
Dewas(F&V;)
Khujner
Mandi(Mandi)
Morena
Sangrampur
Dhariwal
Lakhnadon(F&V;)
Alathur
Madhira
Khanapur
Matigara
Mehal Kalan
Ateli
Meham
Kapasan
Jaipur(Grain)(Chandpole)
Barara
Nawalgarh
Jalana
Rehli
Kattappana
Harda(F&V;)
Unhel
Khamhariya
Nawan Shahar(Mandi Aur)
Kangra
Kolaras
Aizawl
Baro Bazar (Posta Bazar)
Pathari
Burhanpur(F&V;)
Rajnagar
Nagour(FV)
Udgir
Khed
Chomu(F&V;)
Shadora
Damoh(F&V;)
Ballabhgarh
Sangriya
Zaloosa-Chararishrief (F&V;)
Punhana
Dehgam
Pohari
Amirgadh
Bagbahra
Sumerpur
Porsa
Hadgaon
Neem Ka Thana
Kishan Renwal(Fulera)
Lalsot(Mandabari)
Basmat
Phillaur(Apra Mandi)
Jaora
Firozepur City
Phillaur
Dholka
Kangra(Baijnath)
Chandrapur
Balodabazar
Mokokchung Town
Mansa(Ubha Buraj Dhilwan)
Chabda(Kawal lalpura)
Vijayawada
Warangal
Narayanpet
Pichhour
Patiala(New Anaj Mandi)
Gandai
Dhanera
Rahata
Goniana(Mehma Sarja)
Thamarassery
Jabalpur
Jhalod
Pandalam
Bodeli(Modasar)
Bhuj
Hanumangarh Town
Jodhpur (Grain)
Gajsinghpur
Aarni
Betul
Vijapur
Shirpur
Pachaur
Dasuya
Shevgaon
Berasia
Kuttoor
Parali Vaijyanath
Sangat
Sarangpur
Fazilka
Thasara(Dokar)
Songadh
Kolhapur(Malkapur)
Chandur Railway
Aluva
Mandsaur(F&V;)
Jakhal
Sriganganagar
Balwadi
Anta
Bhiloda
Badami
Chopada
Parassala
Praswada
Sikarpur
Umarkhed
Murim
Pune(Khadiki)
Kada
Kishangarh Renwal
Ahmedabad(Fruit Market_ Naroda)
Kothamangalam
Tendukheda
Ramanathapuram(phase 3)
Parner
Chotila
Ghansawangi
Jintur(Bori)
Palitana
Kurawar
Ajnala
Pali
Deoulgaon Raja
Mottagaon
Chandigarh (F&V;)
Maharajganj
Kotputli
Alwar(FV)
Thrissur
Godhra(Timbaroad)
Chinnamanur
Malout
Ludhiana(Mandi gill Road)
Bhander
Zira
Pongalur
Sangli(Phale_ Bhajipura Market)
Deesa
Sonpeth
Kanispora Baramulla (F&V;)
Naila
Jaipur(Bassi)
Kuchaman City
Eluru(P.Sri.Mkt)_RBZ
Maloud
Sadasivpet(Sangareddy)
Ziro
Multai
Talwandi Sabo
Halol
Kurali
Jullana
Pandkital
Khargone
Hinganghat
Manora
Panna
Holalkere
Alwal_RBZ
Amrawati(Frui & Veg. Market)
Telhara
Palanpur
Mehsana(Mehsana Veg)
Bhikhi
Nagbhid
Bundi
Amloh(Gobind Garh Mandi)
Tikabali
Akhnoor
Samana(Kakrala)
Karimnagar
Bhulath
Dahod(Veg. Market)
Basmat(Kurunda)
Khedbrahma
Amalner
Pune(Hadapsar)
Bazar Atriya
Dondaicha
Mehsana
Bumhama-Kupwara (F&V;)
Talalagir
Alirajpur
Biaora
Mandalgarh
Ambajipeta
Mangrol
Arvi
Raver
Badepalli
Dhanora
Urvakonda
Dhari(Chalala)
Balod
Kapadanj(Moti Jaher)
Sojat Road
Karjat(Rashin)
Mehatpur
Bhabhar
Nandgaon
Patur
Ajmer (Grain)
Khanina
Pandhurna(F&V;)
Dahivadi
Neeleswaram
Hoshiarpur(Sham Churasi)
Rehati
Darwha
Sahnewal
Jammikunta
Bodeli
Motala
Koduvayoor
Nagaur
Thanabhawan
Sangola
Thalayolaparambu
Kishanganj
Angamaly
LavKush Nagar(Laundi)
Samana(Gajewas)
Nohar
Saja
Sangli(Miraj)
Santoshgarah
Lahar
Dhamngaon-Railway
Umariya
Jalrapatan
Jalkot
Tosham
Thaliparamba
Matar(Limbasi)
Irinjalakkuda
Ambad (Vadigodri)
Mahuva
Zaheerabad
Pethappampatti
Talwandi Sabo(Kot Fatta)
Makhu
Hingoli(Kanegoan Naka)
Hoshiarpur
AMO_ Mumbai
Pathankot
Buldhana
Virpur
Parola
Dindigul
Gandchiroli
Sultanpu
Nizamabad
Shamgarh
Selemba
Keshoraipatan
Ch. Dadri
Piplya
Nagar
Sirmour(sarahan)
Anaimalai
Sawai Madhopur
Degana
Ramayampet
Mukkom
Niwadi
Bagru
Jaisalmer
Pargi
Jalandhar Cantt (Jamshedpur Dana Mandi)
Beed
Lateri
Belargaon
Garh Shankar(Mahalpur)
Adoni
Cheeka
Doraha
Anand(Veg_Yard_Anand)
Jalore
Madhavapuram
Mustafabad
Valia
Bilimora
Quadian
Amrawati(Frui &amp; Veg. Market)
Panthawada
Mahbubnagar(Nawabpet)
Kesli
Kareli
Pendraroad
Mehmadabad(Veg _market)
Udhampur
Bandikui(Geejgarh)
Bhuntar
Kosgi
Borsad
Radhanpur
Shahkot
Chavakkad
Israna
Kherli
Tikamgarh
Upleta
Morbi
Solan(Nalagarh)
Himatnagar(Gambhoi)
Ghatanji
Itawa
Mehgaon
Kota
Pirda
Pandhana
Pulgaon
Kannod
Patiala(Anaj Mandi Sanaur Road)
Becharaji
Pattamundai
Bayana
Jamner
Khamgaon
Chaurai
Nasvadi(Thalkala)
Palayam
Petlawad
Sri Karanpur
Nilokheri
Doranpal
Melli
Uniyara
Gangapur City
Obedullaganj
Surajpur
Pandhurna
Bamora
Kullu
Ahmedabad(Manekchowk)
Babhulgaon
Modasa(Tintoi)
vadakarapathy
Daryapur
Bilga
Jaipur (Grain)
Katpadi(Uzhavar Santhai)
Buldhana(Dhad)
Dera Baba Nanak
Kollengode
Nashik(Devlali)
Peeparcity
Rayya
Pusapatirega
Konganapuram (Agri. Coop. Marketing Society)
Gaddiannaram
Garhakota
Sadasivpet
Pandariya
Vijay Nagar(Gulabpura)
Lalsot
Lakhnadon
Visavadar
Monday Market
Shahzadpur
Bina
Ganaur
Lalbarra
Binny Mill (F&V;)_ Bangalore
Botad(Bhabarkot)
Mehta
Mundra
All India Cottonseed Crushers Association
Lungli
Tasgaon
Rongram
Jaipur(F&V;)
Kuchinda
Oddunchairum
Kangra(Nagrota Bagwan)
Paithan
Quilandy
Karmala
Chhindwara(F&V;)
Atru
Athirampuzha
Kapurthala
Pilli Banga
Taal
Chakrata
Akot
Majitha
Patharia
Bareta
Anjar
Deori
Malpura(Todaraisingh)
Damana Hat
Panipat
Belgaum
Lakkireddipally
Bhogpur
Anjad
Sri Har Gobindpur
Nakodar
Dhilwan
Gajwel
Pachora(Bhadgaon)
Patan(Veg_Yard Patan)
Gairatganj
Nizar
Lashkar
Koregaon
Raath
Kanker
Nilanga
Bowenpally
Tonk
Parbhani
Saunsar
Nimbahera
Farukh Nagar
Rohroo
Khurai
Badod
Varud(Rajura Bazar)
Kekri
Wokha Town
Bilara
Karjan
Ramachandrapuram
Mallanwala
Sri Vijayanagar
Rampuraphul(Chowke)
Dharamjaygarh
Bhavnagar
Nihal Singh Wala
Jammalamadugu
Rona
Badarwas
Sehora
Raipur
Gandhwani
Dhar
Patran
Muskara
Zunheboto
Manmad
Shamgarh(F&V;)
Bilha
Indore(F&V;)
Malerkotla
Keshopur
Tirupati
Sikar
Vadvani
Bandikui
Chabhal
Kot ise Khan
Bayad
Shahagarh
Chogawan
Chikali
Nowpora
Jalukie
Vani
Akodia
Katni
Medak
Chirwa
Jam Khambalia
Narnaund
Kishan Renwal(Sambhar)
Nakodar(Sarih)
Nabha
Bhusaval
R and B Guest House_RBZ_Vizianagaram
Manwat
Jaijaipur
Chittapur
Behal
Narharpur
Tadkalas
Rajasamand
Purna
Vaduj
Hassanpur
Bihariganj
Itarsi
Kamakhyanagar
Gadwal
Akola
Dhoraji
Ghansour
Baikunthpur
Narsinghpur
Bhagta Bhai Ka
Sindi
Chandrapur(Ganjwad)
Harpalpur
Khajuwala
Vadodara(Navapura)
Lormi
Narot J Singh
Dhandhuka
Vessue
Gudimalkapur
Nasvadi
Baghapurana
Kawardha
