index,ArharSplit,AttaFAQ,BajraFAQ,BananaFAQ,BesanNA,BiscuitGlucose,BlackNA,BreadLocal,BrinjalFAQ,ChickenPoultry,CoconutDry,CoconutFresh,CoconutNA,CumminNA,EggsNA,FishPomphret,GheeDesi,GingellyNA,GramSplit,GramWhole,GroundnutNA,GurLocal,JowarWhite,MaidaNA,MaizeFAQ,MasurSplit,MeatMutton,MilkCowBuffalo,MilkDairy,MoongSplit,MustardNA,OnionFAQ,PotatoFAQ,RagiFAQ,RedNA,RiceCommonCoarse,RiceFine,RiceSuperfine,SaltLoosecommon,SaltPacketiodized,SugarNA,SujiNA,TeaCtcloose,TomatoFAQ,UradSplit,VanaspatiDaldaRathAny,VanaspatiNA,WheatDesi
18112011weekIndiaAmritsar,72,16,NA,70,42,15,NA,NA,50,140,33,NA,120,10,36,NA,8,80,42,40,80,160,18,20,18,55,240,30,30,76,90,30,13,NA,14,28,32,NA,12,14,50,20,75,20,62,NA,80,NA
18122009weekIndiaAmritsar,84,17,13,NA,40,15,200,NA,15,120,38,NA,165,NA,36,NA,255,65,38,36,85,160,14,19,12,72,160,22,22,80,66,15,10,NA,18,22,NA,NA,10,12,42,19,66,20,62,NA,48,NA
19012007weekIndiaAmritsar,34,12,12,25,36,10,140,12,15,80,NA,NA,100,120,24,200,150,80,35,35,85,20,12,14,10,36,130,12,15,45,50,14,5,32,100,15,34,40,5,8,17.5,15,27,15,44,52,50,10
19022010weekIndiaAmritsar,84,17,13,15,40,NA,NA,NA,NA,120,42,42,165,7,36,NA,10,65,40,36,85,66,14,19,12,72,160,22,22,90,66,20,20,NA,17,22,NA,NA,12,20,160,19,5,10,62,NA,48,NA
19032010weekIndiaAmritsar,75,17,13,15,40,NA,NA,NA,NA,120,42,38,165,6,36,NA,10,65,40,36,85,66,14,19,12,70,160,22,25,85,66,20,14,NA,17,22,NA,NA,12,20,160,19,5,15,58,NA,48,NA
19052006weekIndiaAmritsar,37,10,9,20,26,5,160,9,8,70,32,15,50,120,12,NA,135,60,40,32,65,25,10,15,8,34,130,15,15,35,47,5,8,NA,0,14,32,40,6,7,22,12,45,6,35,50,48,7.5
19062009weekIndiaAmritsar,42,14,13,35,30,5,160,14,16,110,NA,25,170,NA,30,NA,198,65,35,28,90,32,14,10.5,10.5,60,170,22,22,55,60,8,12,NA,15,20,NA,NA,NA,11,27,13,140,10,40,NA,50,NA
19082011weekIndiaAmritsar,72,16,16,60,42,15,NA,NA,40,120,33,NA,115,15,36,NA,12,NA,42,42,75,140,16,20,18,55,235,28,29,75,78,40,20,NA,12,28,NA,NA,12,20,35,18,73,15,70,NA,70,NA
19092008weekIndiaAmritsar,45,12.5,10,20,40,5,220,12,15,80,NA,NA,140,160,NA,NA,170,110,38,36,100,25,12,15,12,55,150,18,18,45,70,12,7,NA,18,20,50,60,3,8,21,16,120,15,38,130,60,NA
19102007weekIndiaAmritsar,40,12.5,9,25,32,10,180,12,15,80,20,16,130,160,NA,NA,160,72,32,30,80,20,12,16,10,40,140,12,16,44,54,20,10,NA,12,18,35,40,3,7,16,16,110,15,40,115,55,NA
19102012weekIndiaAmritsar,68,17,18,50,65,8,490,20,15,140,150,NA,120,NA,40,NA,290,90,60,60,110,55,18,18,18,65,260,32,30,82,100,10,20,NA,30,26,NA,NA,8,14,40,20,240,19,60,NA,85,NA
19112010weekIndiaAmritsar,68,15,13,32,38,5,265,10,25,120,NA,15,165,NA,36,NA,250,65,36,34,85,45,15,20,15,60,200,22,22,65,66,32,15,NA,18,22,NA,NA,10,12,32,20,180,18,NA,NA,50,NA
19122008weekIndiaAmritsar,48,13,10,30,38,10,220,14,25,110,NA,NA,150,160,NA,NA,220,120,36,35,110,25,12,15,10,58,150,19,18,48,80,18,6,NA,17,21,54,62,5,10,21,16,140,24,50,NA,48,NA
20012006weekIndiaAmritsar,34,10,7,18,24,5,220,8,15,70,NA,NA,50,130,22,NA,135,60,22,20,65,16,10,15,8,28,100,15,15,28,40,16,10,NA,NA,14,58,52,6,7,20,12,45,10,28,52,48,NA
20012012weekIndiaAmritsar,72,16,16,40,54,10,400,15,10,120,NA,30,120,NA,40,NA,305,90,54,52,110,55,18,18,18,50,260,32,30,68,84,15,6,NA,20,22,NA,NA,8,14,34,20,180,20,60,NA,80,NA
20022009weekIndiaAmritsar,45,12.5,10,30,35,5,180,14,15,100,NA,15,125,160,24,NA,180,NA,34,32,100,30,10,14,10,64,160,19,19,45,60,15,4,NA,8,18,NA,NA,NA,10,26,14,130,12,38,NA,45,NA
20032009weekIndiaAmritsar,45,12.5,10,30,38,5,180,14,20,100,NA,15,120,NA,24,NA,200,75,38,38,95,30,11,14,10,60,160,20,20,45,50,16,6,NA,8,19,NA,NA,NA,10,25,14,130,10,38,NA,45,NA
20042012weekIndiaAmritsar,65,16,20,70,54,16,NA,NA,40,120,33,150,120,8,24,NA,8,90,54,52,110,180,18,18,18,55,260,30,30,75,85,25,7,NA,7,23,NA,NA,14,26,55,20,80,15,60,NA,80,NA
20052011weekIndiaAmritsar,80,16,14,60,44,5,272,15,30,120,NA,25,165,NA,34,NA,250,65,40,42,85,40,16,22,16,60,230,28,28,75,NA,10,10,NA,34,26,NA,NA,12,12.9,34,20,130,20,68,NA,55,NA
20062008weekIndiaAmritsar,45,12.5,10,25,38,5,220,12,12,100,NA,NA,140,160,30,325,170,110,35,35,100,20,12,16,10,55,150,18,18,45,75,7,10,NA,15,20,65,75,2,8,17.5,16,120,10,40,145,62,NA
20072007weekIndiaAmritsar,38,12,12,25,36,10,180,12,12,70,NA,NA,130,160,24,NA,155,72,34,32,80,20,12,15,10,40,130,12,16,48,54,14,12,NA,12,16,35,40,3,6,15.5,15,110,20,44,120,56,NA
20072012weekIndiaAmritsar,68,16,22,NA,58,20,NA,NA,50,140,34,150,120,15,28.799999,NA,8,90,54,52,110,240,18,18,18,80,260,30,30,82,95,10,8,NA,8,26,NA,NA,14,26,55,20,80,15,54,NA,80,NA
20082010weekIndiaAmritsar,68,15,13,50,38,10,NA,NA,30,120,31,NA,165,10,36,NA,10,65,36,32,85,160,15,20,13,60,160,22,25,72,66,40,15,NA,17,22,NA,NA,12,30,40,20,73,20,65,NA,50,NA
20102006weekIndiaAmritsar,40,12,12,30,42,10,140,10,15,70,NA,30,70,120,20,NA,160,80,38,40,75,22,10,14,10,38,130,12,15,50,48,8,12,NA,70,16,35,40,5,8,21,14,27,25,54,52,55,9
20112009weekIndiaAmritsar,80,18,12,40,85,NA,22,NA,NA,80,66,160,48,20,NA,22,15,66,40,36,65,15,13,84,NA,48,36,240,10,72,165,NA,22,14,NA,22,NA,NA,10,17,5,17,NA,15,34,120,160,14
21012005weekIndiaAmritsar,34,9.5,10,NA,24,5,220,8,NA,60,NA,NA,NA,130,22,NA,135,60,22,20,65,16,7,15,7,28,100,15,15,28,44,NA,NA,8,NA,14,52,58,6,7,20,12,NA,NA,28,48,50,NA
21012011weekIndiaAmritsar,75,15,13,35,38,5,270,15,25,140,NA,25,165,NA,38,NA,250,65,36,34,85,55,15,20,15,65,240,23,23,68,66,50,5,NA,34,22,NA,NA,12,12,34,20,NA,40,60,NA,55,NA
21032008weekIndiaAmritsar,45,12.5,9,25,42,3,200,12,30,80,NA,NA,140,160,24,300,160,110,40,38,100,20,12,15,10,52,140,18,18,42,75,7,7,NA,15,17,60,50,2,NA,18,15,120,20,40,160,75,NA
21042006weekIndiaAmritsar,36,10,8,20,24,5,235,8,12,60,32,30,50,135,NA,NA,135,60,24,23,65,18,10,15,8,32,120,16,15,32,46,10,8,NA,NA,14,33,40,6,7,22,12,45,14,30,NA,48,NA
21052010weekIndiaAmritsar,70,14,13,60,38,15,NA,NA,35,120,34,NA,165,7,36,NA,10,65,38,34,85,160,14,19,12,68,160,22,25,75,66,10,10,NA,17,22,NA,NA,12,30,42,19,66,15,55,NA,48,NA
21072006weekIndiaAmritsar,38,10,9,25,34,10,120,10,14,90,NA,NA,NA,NA,15,NA,150,60,32,50,60,20,9,12,10,30,130,12,12,38,48,8,12,NA,70,15,32,40,5,8,21,12,27,20,36,48,48,7.5
21082009weekIndiaAmritsar,80,14,13,25,40,5,180,15,20,120,NA,20,165,NA,36,NA,230,65,36,36,85,35,14,16,10.5,72,180,22,22,50,60,14,15,NA,17,20,NA,NA,10,12,33,18,160,25,45,NA,50,NA
21092007weekIndiaAmritsar,40,12,12,25,38,10,180,12,15,80,20,16,130,160,24,NA,165,72,36,35,76,20,12,16,12,40,140,12,16,45,54,20,10,NA,12,18,35,40,2,7,16,16,100,20,40,115,52,NA
21102005weekIndiaAmritsar,34,7.5,7,15,24,5,220,8,15,70,32,30,50,130,NA,NA,135,60,22,20,65,16,10,15,8,28,100,15,15,28,44,18,10,NA,NA,14,58,52,6,7,20,12,45,10,28,NA,48,NA
21102011weekIndiaAmritsar,76,16,NA,80,42,15,NA,NA,45,140,33,NA,120,14,36,NA,8,80,42,40,80,160,18,20,18,58,235,30,30,80,90,40,20,NA,14,28,NA,NA,12,14,45,20,60,15,68,NA,80,NA
21112008weekIndiaAmritsar,48,13,10,30,37,10,220,14,20,110,NA,NA,150,150,30,NA,220,120,35,48,110,25,12,15,10,60,150,18,18,48,80,20,12,NA,16,20,55,65,5,11,21,16,140,25,50,125,44,NA
21122007weekIndiaAmritsar,44,12.5,9,25,38,3,180,12,10,80,NA,NA,100,160,30,400,150,90,38,36,95,25,12,15,10,40,140,12,16,40,60,12,10,NA,18,18,45,55,2,8,17,16,120,15,40,125,56,NA
22012010weekIndiaAmritsar,84,17,13,15,40,NA,NA,NA,NA,120,42,46,165,10,36,NA,10,65,38,36,85,66,14,19,12,72,160,22,22,90,66,15,22,NA,17,22,NA,NA,12,20,160,19,5,10,62,NA,48,NA
22022008weekIndiaAmritsar,45,12.5,9,25,36,3,180,12,15,70,NA,NA,145,160,24,350,155,100,34,32,100,25,12,15,10,45,150,18,18,45,64,7,7,NA,18,18,45,55,2,8,17.5,16,120,20,42,140,63,NA
22042005weekIndiaAmritsar,34,9.5,7,15,24,5,220,8,10,70,32,30,50,130,22,NA,135,60,22,20,65,16,10,15,8,28,100,15,15,28,44,6,5,NA,NA,14,52,58,6,7,20,12,45,8,28,NA,48,NA
22042011weekIndiaAmritsar,80,16,14,60,44,5,272,15,30,120,NA,25,165,NA,34,NA,245,65,40,NA,85,45,16,22,16,60,225,25,25,75,NA,10,10,NA,34,26,NA,NA,12,12.9,34,20,130,32,68,NA,55,NA
22052009weekIndiaAmritsar,42,13,12.5,30,35,5,160,14,15,100,NA,15,170,NA,30,NA,200,90,33,28,90,32,12,15,10,60,160,21,21,55,62,10,8,NA,9,22,NA,NA,NA,10,28,15,140,8,45,NA,50,NA
