index,ArharSplit,AttaFAQ,BajraFAQ,BananaFAQ,BesanNA,BiscuitGlucose,BlackNA,BreadLocal,BrinjalFAQ,ChickenPoultry,CoconutDry,CoconutFresh,CoconutNA,CumminNA,EggsNA,FishPomphret,GheeDesi,GingellyNA,GramSplit,GramWhole,GroundnutNA,GurLocal,JowarWhite,MaidaNA,MaizeFAQ,MasurSplit,MeatMutton,MilkCowBuffalo,MilkDairy,MoongSplit,MustardNA,OnionFAQ,PotatoFAQ,RagiFAQ,RedNA,RiceCommonCoarse,RiceFine,RiceSuperfine,SaltLoosecommon,SaltPacketiodized,SugarNA,SujiNA,TeaCtcloose,TomatoFAQ,UradSplit,VanaspatiDaldaRathAny,VanaspatiNA,WheatDesi
15022013weekIndiaDelhi,65,20,17,35,NA,NA,NA,NA,30,160,NA,NA,130,NA,40,600,320,NA,52,38,160,40,18,NA,18,52,270,38,NA,70,100,28,10,NA,30,26,NA,NA,NA,16,37,NA,NA,15,65,NA,62,NA
22022013weekIndiaDelhi,70,NA,19,100,150,NA,NA,NA,35,40,37,NA,62,10,125,NA,NA,100,NA,52,NA,NA,17,65,NA,65,150,NA,NA,52,130,16,25,20,12,26,NA,NA,16,18,40,NA,NA,30,38,270,NA,18
01032013weekIndiaDelhi,65,20,18,35,NA,NA,NA,NA,30,145,NA,NA,130,NA,40,615,300,NA,52,38,150,40,19,NA,19,55,270,35,NA,70,100,25,10,NA,30,26,NA,NA,NA,16,37,NA,NA,20,65,NA,62,NA
08032013weekIndiaDelhi,65,20,17,35,NA,NA,NA,NA,32,145,NA,NA,120,NA,40,615,300,NA,52,38,150,40,19,NA,19,53,270,38,NA,70,95,22,10,NA,30,26,NA,NA,NA,16,37,NA,NA,20,68,NA,62,NA
15032013weekIndiaDelhi,65,20,18,35,NA,NA,NA,NA,36,135,NA,NA,120,NA,40,615,300,NA,52,38,150,40,18,NA,18,55,270,38,NA,70,95,20,10,NA,30,25,NA,NA,NA,16,36,NA,NA,20,68,NA,62,NA
22032013weekIndiaDelhi,68,20,18,35,NA,NA,NA,NA,36,145,NA,NA,120,NA,40,610,300,NA,52,36,150,40,18,NA,19,55,270,38,NA,70,95,24,10,NA,30,25,NA,NA,NA,16,36,NA,NA,20,68,NA,62,NA
29032013weekIndiaDelhi,70,20,18,35,NA,NA,NA,NA,36,130,NA,NA,120,NA,40,615,300,NA,52,36,150,40,19,NA,19,55,270,38,NA,70,95,24,12,NA,30,25,NA,NA,NA,16,36,NA,NA,16,68,NA,62,NA
05042013weekIndiaDelhi,75,20,18,40,NA,NA,NA,NA,36,120,NA,NA,120,NA,42,615,300,NA,50,38,150,40,19,NA,19,55,270,38,NA,80,95,24,12,NA,30,25,NA,NA,NA,16,36,NA,NA,16,70,NA,62,NA
12042013weekIndiaDelhi,75,20,17,40,NA,NA,NA,NA,30,115,NA,NA,120,NA,42,615,300,NA,50,40,150,40,18,NA,18,60,270,38,NA,85,95,20,12,NA,30,25,NA,NA,NA,16,36,NA,NA,16,70,NA,62,NA
19042013weekIndiaDelhi,75,20,18,40,NA,NA,NA,NA,30,115,NA,NA,120,NA,42,615,300,NA,50,40,150,40,19,NA,19,60,270,38,NA,85,95,20,12,NA,30,26,NA,NA,NA,16,36,NA,NA,16,70,NA,62,NA
