date,Onion,Potato,Rice
2009-03-23,16.0,8.75,14.0
2009-03-24,16.0,9.0,14.0
2009-03-25,16.0,9.0,14.0
2009-03-26,15.0,9.0,14.0
2009-03-27,14.0,9.0,14.0
2009-03-28,14.0,9.0,14.0
2009-03-29,14.0,9.0,14.0
2009-03-30,14.0,9.0,14.0
2009-03-31,14.0,9.0,14.0
2009-04-01,12.0,9.0,14.0
2009-04-02,14.0,10.0,14.0
2009-04-03,14.0,9.857142857142858,14.0
2009-04-04,14.0,9.714285714285714,14.0
2009-04-05,14.0,9.571428571428571,14.0
2009-04-06,14.0,9.428571428571429,14.0
2009-04-07,14.0,9.285714285714286,14.0
2009-04-08,14.0,9.142857142857142,14.0
2009-04-09,14.0,9.0,14.0
2009-04-10,14.0,9.0,14.0
2009-04-11,14.0,9.0,14.0
2009-04-12,14.0,9.0,14.0
2009-04-13,14.0,9.0,14.0
2009-04-14,14.0,9.0,14.0
2009-04-15,14.0,9.0,14.0
2009-04-16,14.0,9.0,14.0
2009-04-17,14.0,9.0,14.0
2009-04-18,13.5,9.25,14.0
2009-04-19,13.0,9.5,14.0
2009-04-20,12.5,9.75,14.0
2009-04-21,12.0,10.0,14.0
2009-04-22,12.0,10.0,14.0
2009-04-23,12.0,10.0,14.0
2009-04-24,12.0,12.0,14.0
2009-04-25,12.0,12.0,14.0
2009-04-26,12.0,12.0,14.0
2009-04-27,12.0,12.0,14.0
2009-04-28,12.0,12.0,14.0
2009-04-29,12.0,12.0,14.0
2009-04-30,12.0,12.0,14.0
2009-05-01,12.0,12.0,14.0
2009-05-02,12.0,12.0,14.0
2009-05-03,12.0,12.0,14.0
2009-05-04,12.0,12.0,14.0
2009-05-05,12.0,12.0,14.0
2009-05-06,12.0,12.0,14.0
2009-05-07,12.0,12.0,14.0
2009-05-08,12.0,12.0,14.0
2009-05-09,12.0,12.0,14.0
2009-05-10,12.0,12.0,14.0
2009-05-11,12.0,12.0,14.0
2009-05-12,12.0,12.0,14.0
2009-05-13,12.0,12.0,14.0
2009-05-14,12.0,12.0,14.0
2009-05-15,10.0,12.0,14.0
2009-05-16,10.5,12.0,14.0
2009-05-17,11.0,12.0,14.0
2009-05-18,11.5,12.0,14.0
2009-05-19,12.0,12.0,14.0
2009-05-20,10.0,11.0,14.0
2009-05-21,10.0,11.0,14.0
2009-05-22,10.0,11.0,14.0
2009-05-23,10.5,11.0,14.0
2009-05-24,11.0,11.0,14.0
2009-05-25,11.5,11.0,14.0
