date,Onion,Potato,Rice,Wheat
2009-12-16,26.0,24.0,22.0,21.0
2009-12-17,26.0,24.0,22.0,21.0
2009-12-18,26.0,24.0,22.0,21.0
2009-12-19,26.0,24.0,22.0,21.0
2009-12-20,26.0,24.0,22.0,21.0
2009-12-21,26.0,24.0,22.0,21.0
2009-12-22,26.0,24.0,22.0,21.0
2009-12-23,26.0,24.0,22.0,21.0
2009-12-24,26.0,24.0,22.0,21.0
2009-12-25,26.0,24.0,22.0,21.0
2009-12-26,26.0,24.0,22.0,21.0
2009-12-27,26.0,24.0,22.0,21.0
2009-12-28,26.0,24.0,22.0,21.0
2009-12-29,26.0,24.0,22.0,21.0
2009-12-30,26.0,24.0,22.0,21.0
2009-12-31,26.0,24.0,22.0,21.0
2010-01-01,26.0,24.0,22.0,21.0
2010-01-02,26.0,24.0,22.0,21.0
2010-01-03,26.0,24.0,22.0,21.0
2010-01-04,26.0,24.0,22.0,21.0
2010-01-05,26.0,24.0,22.0,21.0
2010-01-06,26.0,24.0,22.0,21.0
2010-01-07,26.0,24.0,22.0,21.0
2010-01-08,26.0,24.0,22.0,21.0
2010-01-09,26.0,24.0,22.0,21.0
2010-01-10,26.0,24.0,22.0,21.0
2010-01-11,26.0,24.0,22.0,21.0
2010-01-12,26.0,24.0,22.0,21.0
2010-01-13,26.0,24.0,22.0,21.0
2010-01-14,26.0,24.0,22.0,21.0
2010-01-15,26.0,24.0,22.0,21.0
2010-01-16,26.0,24.0,22.0,21.0
2010-01-17,26.0,24.0,22.0,21.0
2010-01-18,26.0,24.0,22.0,21.0
2010-01-19,26.0,24.0,22.0,21.0
2010-01-20,22.0,20.0,22.0,22.0
2010-01-21,22.0,20.0,22.0,22.0
2010-01-22,22.0,20.0,22.0,22.0
2010-01-23,21.66666666666667,19.33333333333333,22.0,22.0
2010-01-24,21.33333333333333,18.666666666666668,22.0,22.0
2010-01-25,21.0,18.0,22.0,22.0
2010-01-26,20.666666666666668,17.333333333333332,22.0,22.0
2010-01-27,20.33333333333333,16.666666666666668,22.0,22.0
2010-01-28,20.0,16.0,22.0,22.0
2010-01-29,22.0,16.0,22.0,22.0
2010-01-30,22.0,16.0,22.0,22.0
2010-01-31,22.0,16.0,22.0,22.0
2010-02-01,22.0,16.0,22.0,22.0
2010-02-02,22.0,16.0,22.0,22.0
2010-02-03,22.0,16.0,22.0,22.0
2010-02-04,22.0,16.0,22.0,22.0
2010-02-05,22.0,16.0,22.0,22.0
2010-02-06,22.0,16.0,22.0,22.0
2010-02-07,22.0,16.0,22.0,22.0
2010-02-08,22.0,16.0,22.0,22.0
2010-02-09,22.0,16.0,22.0,22.0
2010-02-10,16.0,12.0,22.0,22.0
2010-02-11,16.0,12.0,22.0,22.0
2010-02-12,16.0,12.0,22.0,22.0
2010-02-13,16.0,12.0,22.0,22.0
2010-02-14,16.0,12.0,22.0,22.0
2010-02-15,16.0,12.0,22.0,22.0
2010-02-16,16.0,12.0,22.0,22.0
2010-02-17,16.0,12.0,22.0,22.0
2010-02-18,16.0,12.0,22.0,22.0
2010-02-19,16.0,12.0,22.0,22.0
2010-02-20,16.0,12.0,22.0,22.0
2010-02-21,16.0,12.0,22.0,22.0
2010-02-22,16.0,12.0,22.0,22.0
2010-02-23,16.0,12.0,22.0,22.0
2010-02-24,16.0,12.0,22.0,22.0
2010-02-25,18.0,12.0,20.0,22.0
2010-02-26,18.0,12.0,20.0,22.0
2010-02-27,17.2,12.0,20.0,22.0
2010-02-28,16.4,12.0,20.0,22.0
2010-03-01,15.6,12.0,20.0,22.0
2010-03-02,14.8,12.0,20.0,22.0
2010-03-03,14.0,12.0,20.0,22.0
2010-03-04,14.0,12.0,20.0,22.0
2010-03-05,14.0,12.0,20.0,22.0
2010-03-06,14.0,11.5,20.0,22.0
2010-03-07,14.0,11.0,20.0,22.0
2010-03-08,14.0,10.5,20.0,22.0
2010-03-09,14.0,10.0,20.0,22.0
2010-03-10,14.0,10.0,20.0,22.0
2010-03-11,14.0,12.0,20.0,21.0
2010-03-12,12.0,10.0,20.0,21.0
2010-03-13,12.0,10.0,20.0,21.0
2010-03-14,12.0,10.0,20.0,21.0
2010-03-15,12.0,10.0,20.0,21.0
2010-03-16,12.0,10.0,20.0,21.0
2010-03-17,12.0,10.0,20.0,21.0
2010-03-18,12.0,10.0,20.0,21.0
2010-03-19,12.0,10.0,20.0,21.0
2010-03-20,12.0,10.0,20.0,21.0
2010-03-21,12.0,10.0,20.0,21.0
2010-03-22,12.0,10.0,20.0,21.0
2010-03-23,12.0,10.0,20.0,21.0
2010-03-24,12.0,10.0,20.0,21.0
2010-03-25,12.0,10.0,20.0,21.0
2010-03-26,12.0,10.0,20.0,21.0
2010-03-27,12.0,10.0,20.0,21.0
2010-03-28,12.0,10.0,20.0,21.0
